film_id,length,rating,"Average Rental Duration",Num_film_rentals,Rental_month,Category
1,86,PG,6,9,7,Documentary
2,48,G,3,2,7,Horror
3,50,NC-17,7,4,7,Documentary
4,117,G,5,12,7,Horror
5,130,G,6,5,7,Family
6,169,PG,3,7,7,Foreign
7,62,PG-13,6,6,7,Comedy
8,54,R,6,7,7,Horror
9,114,PG-13,3,7,7,Horror
10,63,NC-17,6,8,7,Sports
11,126,G,6,10,7,Foreign
12,136,PG,6,11,7,Music
13,150,PG,4,4,7,Horror
15,46,NC-17,5,8,7,Foreign
16,180,NC-17,6,5,7,Foreign
17,82,R,3,6,7,Music
18,57,PG-13,6,11,7,Animation
19,113,PG,6,8,7,Action
20,79,R,4,5,7,Music
21,129,R,3,8,7,Action
22,85,G,6,9,7,New
23,92,R,3,9,7,Animation
24,181,R,6,7,7,Horror
25,74,G,3,9,7,New
26,86,G,3,8,7,Sci-Fi
27,179,NC-17,7,5,7,Sports
28,91,PG-13,5,6,7,Comedy
29,168,NC-17,5,4,7,Action
30,82,R,4,2,7,Horror
31,92,NC-17,5,13,7,Family
32,119,R,6,3,7,New
34,62,NC-17,6,4,7,Horror
35,147,PG-13,4,13,7,Horror
37,121,PG,3,6,7,Classics
39,99,G,5,11,7,Sci-Fi
40,148,R,4,6,7,Documentary
42,170,NC-17,5,7,7,Sports
43,170,G,6,9,7,Family
44,113,PG-13,5,8,7,Sci-Fi
45,83,PG-13,5,8,7,New
46,108,G,3,5,7,Games
47,153,NC-17,5,3,7,Foreign
48,118,PG-13,3,8,7,Children
49,162,R,6,11,7,Sci-Fi
50,182,G,3,9,7,Family
51,75,NC-17,5,8,7,Music
52,173,G,6,3,7,Foreign
53,87,NC-17,5,3,7,Family
54,113,R,5,8,7,Music
55,65,G,6,8,7,Sci-Fi
56,129,G,6,8,7,Action
57,90,PG-13,4,9,7,Travel
58,122,G,6,6,7,Documentary
59,160,R,4,8,7,Children
60,89,R,3,5,7,Classics
61,175,G,5,10,7,Drama
62,106,NC-17,5,3,7,Documentary
63,73,PG,6,5,7,Family
